action_id,inspection_id,incident_id,action_description,action_description_hindi,assigned_to,assigned_date,due_date,completion_date,status,priority,verification_required,verified_by,verification_date,delay_reason
CA-00351,INS-OD-001-4453,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-07-16,2023-07-23,,In Progress,Medium,False,,,
CA-00352,INS-OD-001-0291,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-04-08,2023-05-14,2023-05-09,Open,Critical,True,Rajesh Kumar,2023-05-10,
CA-00353,INS-OD-001-3351,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-04-29,2023-06-10,2023-06-16,Completed,High,False,,,
CA-00354,INS-OD-001-4807,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-12-19,2024-02-09,2024-02-08,Escalated,Medium,True,Sita Devi,2024-02-09,
CA-00355,INS-JH-002-4854,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-16,2023-09-14,,Rejected,High,False,,,
CA-00356,INS-JH-002-0449,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-05-11,2023-05-18,2023-05-25,Completed,Low,True,Rajesh Kumar,2023-05-26,
CA-00357,INS-JH-001-4172,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-02-27,2023-03-20,2023-03-20,Escalated,High,False,,,
CA-00358,INS-JH-001-1042,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-03-22,2023-05-14,2023-05-12,In Progress,Medium,True,Sita Devi,2023-05-13,
CA-00359,INS-OD-001-0987,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-04-30,2023-05-27,,In Progress,Low,False,,,
CA-00360,INS-OD-001-0695,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-12-20,2024-02-13,,Rejected,High,False,,,
CA-00361,INS-JH-001-0753,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-11-25,2023-12-21,2023-12-21,Escalated,Low,True,Rajesh Kumar,2023-12-22,
CA-00362,INS-OD-001-2652,INC-OD-001-156,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-10-20,2023-11-25,2023-11-22,Overdue,Critical,False,,,Waiting for approval
CA-00363,INS-JH-001-4871,INC-OD-001-053,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-05-22,2023-07-19,2023-07-17,Overdue,Critical,True,Rajesh Kumar,2023-07-18,Waiting for approval
CA-00364,INS-JH-002-0899,INC-JH-001-155,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-07-28,2023-08-20,2023-08-27,In Progress,Low,True,Rajesh Kumar,2023-08-28,
CA-00365,INS-OD-001-1446,INC-JH-001-222,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-28,2024-01-18,2024-01-19,Rejected,Critical,False,,,
CA-00366,INS-OD-001-1035,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-06-29,2023-08-01,2023-08-10,Rejected,Low,True,Sita Devi,2023-08-11,
CA-00367,INS-JH-002-0588,INC-JH-001-238,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-12-28,2024-01-05,,Open,High,False,,,
CA-00368,INS-JH-002-1070,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-11-29,2024-01-22,,Escalated,Critical,False,,,
CA-00369,INS-JH-002-1620,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-09-18,2023-10-25,2023-11-02,Open,Medium,True,Rajesh Kumar,2023-11-03,
CA-00370,INS-OD-001-1118,INC-JH-001-279,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-24,2023-02-17,,Overdue,Low,False,,,Parts not available
CA-00371,INS-OD-001-2095,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-06-13,2023-08-09,2023-08-08,In Progress,High,True,Sita Devi,2023-08-09,
CA-00372,INS-OD-001-0943,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-01-07,2023-02-01,2023-02-01,Escalated,Critical,True,Sita Devi,2023-02-02,
CA-00373,INS-JH-002-0292,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-11-10,2024-01-05,2024-01-03,Overdue,Medium,True,Rajesh Kumar,2024-01-04,Parts not available
CA-00374,INS-OD-001-4205,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-05-19,2023-06-17,,Rejected,High,False,,,
CA-00375,INS-JH-001-1134,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-09-19,2023-11-06,,Open,Low,False,,,
CA-00376,INS-JH-001-0410,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-11-26,2023-12-26,2023-12-31,Rejected,Low,True,Sita Devi,2024-01-01,
CA-00377,INS-JH-002-0425,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-02,2023-08-24,2023-08-30,Open,Critical,True,Rajesh Kumar,2023-08-31,
CA-00378,INS-OD-001-2832,INC-JH-002-152,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-12-25,2024-02-06,2024-02-05,Escalated,Low,True,Sita Devi,2024-02-06,
CA-00379,INS-JH-002-2993,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-09-27,2023-10-17,,Open,Critical,False,,,
CA-00380,INS-OD-001-2334,INC-OD-001-151,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-04-05,2023-06-04,2023-06-03,Rejected,High,True,Sita Devi,2023-06-04,
CA-00381,INS-JH-002-1273,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-04-23,2023-04-30,2023-05-05,Escalated,High,False,,,
CA-00382,INS-JH-002-3617,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-05-26,2023-06-06,2023-06-07,Rejected,Medium,True,Rajesh Kumar,2023-06-08,
CA-00383,INS-JH-001-2756,INC-OD-001-083,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-03-26,2023-04-08,,Rejected,High,False,,,
CA-00384,INS-JH-001-0863,INC-JH-002-193,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-19,2023-08-09,2023-08-17,In Progress,Low,False,,,
CA-00385,INS-OD-001-2420,INC-JH-001-104,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-01-21,2023-02-02,2023-02-06,Open,Critical,True,Sita Devi,2023-02-07,
CA-00386,INS-JH-002-3305,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-07-19,2023-09-10,2023-09-11,Completed,Medium,True,Rajesh Kumar,2023-09-12,
CA-00387,INS-OD-001-3139,INC-JH-002-243,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-25,2024-01-07,2024-01-05,Overdue,High,True,Sita Devi,2024-01-06,Parts not available
CA-00388,INS-JH-002-3294,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-05-05,2023-06-05,2023-06-12,Open,Critical,False,,,
CA-00389,INS-JH-001-3461,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-10-20,2023-11-20,2023-11-20,Completed,Critical,True,Rajesh Kumar,2023-11-21,
CA-00390,INS-JH-002-2322,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-06-11,2023-06-23,2023-06-23,Escalated,Medium,True,Sita Devi,2023-06-24,
CA-00391,INS-JH-002-3665,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-04-21,2023-05-12,2023-05-20,Escalated,Low,False,,,
CA-00392,INS-JH-002-4406,INC-JH-002-197,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-04-20,2023-05-15,2023-05-20,Open,Medium,True,Rajesh Kumar,2023-05-21,
CA-00393,INS-JH-002-2970,INC-OD-001-277,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-12-14,2024-01-15,,Completed,Critical,False,,,
CA-00394,INS-JH-002-3084,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-20,2023-08-15,2023-08-10,In Progress,Critical,True,Rajesh Kumar,2023-08-11,
CA-00395,INS-OD-001-1385,INC-JH-001-276,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-04-02,2023-04-18,2023-04-17,Open,Critical,False,,,
CA-00396,INS-JH-002-2758,INC-JH-002-235,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-01-29,2023-03-01,2023-02-25,Overdue,Medium,True,Sita Devi,2023-02-26,Equipment unavailability
CA-00397,INS-OD-001-1600,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-02-08,2023-03-03,2023-03-11,Overdue,High,True,Sita Devi,2023-03-12,Waiting for approval
CA-00398,INS-JH-001-3414,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-07-22,2023-08-05,2023-08-04,In Progress,High,True,Sita Devi,2023-08-05,
CA-00399,INS-JH-002-3675,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-02-14,2023-03-22,2023-03-22,Overdue,Low,True,Rajesh Kumar,2023-03-23,Equipment unavailability
CA-00400,INS-OD-001-4878,INC-JH-002-245,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-05-06,2023-05-26,2023-05-21,Overdue,Low,False,,,Equipment unavailability
CA-00401,INS-OD-001-0950,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-01-05,2023-02-02,,In Progress,Low,False,,,
CA-00402,INS-JH-002-0710,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-13,2024-01-13,,Rejected,Critical,False,,,
CA-00403,INS-JH-002-4486,INC-JH-002-214,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-01-22,2023-03-23,,Rejected,Critical,False,,,
CA-00404,INS-OD-001-3154,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-01-29,2023-03-28,,Completed,Low,False,,,
CA-00405,INS-JH-001-3245,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-01-02,2023-02-03,,Completed,High,False,,,
CA-00406,INS-JH-002-0723,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-09-21,2023-11-17,,Rejected,Low,False,,,
CA-00407,INS-OD-001-3920,INC-OD-001-299,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-09-29,2023-11-20,2023-11-16,In Progress,High,True,Rajesh Kumar,2023-11-17,
CA-00408,INS-OD-001-3767,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-11-04,2023-12-19,2023-12-28,Rejected,Medium,True,Sita Devi,2023-12-29,
CA-00409,INS-JH-002-2202,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-08-13,2023-10-10,,Open,Low,False,,,
CA-00410,INS-OD-001-2641,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-12-25,2024-01-23,2024-02-01,Escalated,Medium,True,Sita Devi,2024-02-02,
CA-00411,INS-OD-001-3292,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-01-25,2023-02-23,,Rejected,Low,False,,,
CA-00412,INS-JH-002-4796,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-05-05,2023-05-24,2023-05-25,Rejected,High,True,Rajesh Kumar,2023-05-26,
CA-00413,INS-JH-002-4679,INC-JH-002-230,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-11-20,2023-11-30,2023-12-05,Escalated,Low,True,Rajesh Kumar,2023-12-06,
CA-00414,INS-JH-002-1674,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-09,2023-11-27,,Completed,Critical,False,,,
CA-00415,INS-JH-001-2146,INC-JH-001-190,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-03-30,2023-04-07,2023-04-12,Overdue,High,True,Rajesh Kumar,2023-04-13,Equipment unavailability
CA-00416,INS-OD-001-4382,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-04-06,2023-05-16,2023-05-15,Escalated,Critical,False,,,
CA-00417,INS-JH-002-3032,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-03-03,2023-04-22,2023-05-02,Overdue,Low,True,Rajesh Kumar,2023-05-03,Waiting for approval
CA-00418,INS-OD-001-3160,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-06-06,2023-06-29,,Completed,Medium,False,,,
CA-00419,INS-OD-001-4038,INC-JH-002-058,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-11-26,2024-01-25,2024-01-27,Overdue,Low,True,Rajesh Kumar,2024-01-28,Equipment unavailability
CA-00420,INS-OD-001-0646,INC-OD-001-084,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-04-03,2023-04-22,,Overdue,Critical,False,,,Waiting for approval
CA-00421,INS-JH-002-3615,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-02-14,2023-03-19,2023-03-15,In Progress,High,False,,,
CA-00422,INS-OD-001-2227,INC-JH-001-205,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-11-09,2023-12-07,2023-12-02,Completed,Medium,False,,,
CA-00423,INS-OD-001-2705,INC-JH-001-040,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-10-13,2023-12-06,,In Progress,Low,False,,,
CA-00424,INS-JH-002-2019,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-06-27,2023-08-06,2023-08-07,Escalated,High,True,Sita Devi,2023-08-08,
CA-00425,INS-JH-002-3271,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-14,2023-03-09,2023-03-19,Open,Medium,True,Sita Devi,2023-03-20,
CA-00426,INS-JH-002-2381,INC-JH-002-119,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-09-26,2023-11-05,2023-11-11,Escalated,Critical,False,,,
CA-00427,INS-JH-002-2762,INC-JH-002-084,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-11-21,2023-12-30,2024-01-09,Escalated,High,False,,,
CA-00428,INS-JH-001-4763,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-05-25,2023-07-14,2023-07-17,Escalated,Medium,False,,,
CA-00429,INS-JH-001-4269,INC-JH-002-026,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-08-28,2023-09-27,2023-09-29,Rejected,Medium,True,Sita Devi,2023-09-30,
CA-00430,INS-JH-002-3699,INC-JH-002-005,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-05-10,2023-05-28,2023-05-30,Rejected,Critical,True,Sita Devi,2023-05-31,
CA-00431,INS-JH-002-4306,INC-OD-001-154,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-04-21,2023-06-17,2023-06-12,Escalated,High,False,,,
CA-00432,INS-JH-002-1895,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-18,2023-08-25,2023-08-28,Overdue,Low,True,Sita Devi,2023-08-29,Parts not available
CA-00433,INS-JH-002-1075,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-04-06,2023-04-29,2023-05-03,Rejected,Low,True,Sita Devi,2023-05-04,
CA-00434,INS-JH-002-4685,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-12-31,2024-01-09,2024-01-19,Overdue,Critical,True,Sita Devi,2024-01-20,Parts not available
CA-00435,INS-JH-001-4504,INC-JH-001-197,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-13,2023-09-24,,Escalated,Critical,False,,,
CA-00436,INS-OD-001-3708,INC-OD-001-061,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-07-25,2023-08-27,,In Progress,Critical,False,,,
CA-00437,INS-JH-002-3465,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-06-24,2023-08-18,2023-08-28,Rejected,Critical,True,Rajesh Kumar,2023-08-29,
CA-00438,INS-JH-002-3937,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-08-24,2023-09-13,2023-09-08,In Progress,Medium,True,Rajesh Kumar,2023-09-09,
CA-00439,INS-OD-001-1364,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-07-03,2023-07-27,2023-07-31,Completed,Low,True,Sita Devi,2023-08-01,
CA-00440,INS-JH-001-4900,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-03-23,2023-04-29,2023-04-28,Rejected,Low,True,Rajesh Kumar,2023-04-29,
CA-00441,INS-JH-002-0898,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-03-26,2023-04-14,,Rejected,Low,False,,,
CA-00442,INS-OD-001-2012,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-03-07,2023-03-31,,Overdue,High,False,,,Waiting for approval
CA-00443,INS-OD-001-0802,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-10-21,2023-11-21,2023-11-30,Open,High,False,,,
CA-00444,INS-JH-002-3619,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-04-14,2023-04-28,2023-04-29,Rejected,Low,True,Sita Devi,2023-04-30,
CA-00445,INS-JH-001-3807,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-02-17,2023-03-29,2023-03-26,Rejected,Medium,True,Sita Devi,2023-03-27,
CA-00446,INS-OD-001-2200,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-11-25,2024-01-16,2024-01-18,Completed,Critical,False,,,
CA-00447,INS-OD-001-1740,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-09-18,2023-11-14,2023-11-18,In Progress,Low,False,,,
CA-00448,INS-JH-002-2057,INC-JH-001-258,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-08-28,2023-10-16,2023-10-25,Completed,Medium,True,Sita Devi,2023-10-26,
CA-00449,INS-JH-002-4592,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-11-27,2023-12-17,2023-12-16,Escalated,High,True,Rajesh Kumar,2023-12-17,
CA-00450,INS-OD-001-1662,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-07-22,2023-09-09,2023-09-05,Rejected,Low,True,Sita Devi,2023-09-06,
CA-00451,INS-JH-002-2348,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-01-13,2023-02-22,,Overdue,Medium,False,,,Waiting for approval
CA-00452,INS-JH-001-4684,INC-JH-001-162,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-09-17,2023-10-21,2023-10-24,Escalated,High,True,Rajesh Kumar,2023-10-25,
CA-00453,INS-OD-001-3549,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-06-10,2023-06-26,2023-07-05,Open,Low,False,,,
CA-00454,INS-JH-001-3086,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-10,2023-07-26,2023-07-23,Escalated,Medium,True,Sita Devi,2023-07-24,
CA-00455,INS-JH-002-1259,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-08-01,2023-09-28,,Rejected,Medium,False,,,
CA-00456,INS-JH-001-3473,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-07,2023-08-09,2023-08-17,Overdue,Low,True,Sita Devi,2023-08-18,Equipment unavailability
CA-00457,INS-JH-002-0386,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-11,2023-09-01,2023-09-11,Completed,Medium,True,Rajesh Kumar,2023-09-12,
CA-00458,INS-JH-002-3712,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-02-17,2023-03-02,2023-02-27,Escalated,High,True,Sita Devi,2023-02-28,
CA-00459,INS-OD-001-0876,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-02-11,2023-03-22,2023-03-27,Rejected,Low,True,Rajesh Kumar,2023-03-28,
CA-00460,INS-OD-001-3518,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-09-23,2023-10-17,,Escalated,Critical,False,,,
CA-00461,INS-JH-002-3907,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-02-24,2023-03-03,2023-02-26,Completed,Critical,True,Rajesh Kumar,2023-02-27,
CA-00462,INS-OD-001-2388,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-09-22,2023-10-20,2023-10-16,Open,Medium,True,Rajesh Kumar,2023-10-17,
CA-00463,INS-OD-001-3416,INC-JH-001-155,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-10-29,2023-11-10,,Overdue,High,False,,,Parts not available
CA-00464,INS-OD-001-1591,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-05-02,2023-05-16,2023-05-19,Overdue,Low,True,Rajesh Kumar,2023-05-20,Parts not available
CA-00465,INS-OD-001-0148,INC-JH-002-081,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-07-18,2023-08-31,,In Progress,Critical,False,,,
CA-00466,INS-JH-001-1902,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-09-18,2023-11-16,2023-11-18,Open,Medium,True,Sita Devi,2023-11-19,
CA-00467,INS-JH-001-4115,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-03-03,2023-04-16,2023-04-21,In Progress,High,True,Rajesh Kumar,2023-04-22,
CA-00468,INS-OD-001-2861,INC-JH-001-220,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-05-25,2023-06-29,2023-06-28,Completed,High,True,Rajesh Kumar,2023-06-29,
CA-00469,INS-OD-001-4266,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-21,2023-05-11,2023-05-21,In Progress,Medium,True,Rajesh Kumar,2023-05-22,
CA-00470,INS-OD-001-1844,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-06-06,2023-06-18,2023-06-28,Open,High,True,Sita Devi,2023-06-29,
CA-00471,INS-JH-002-0221,INC-JH-002-153,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-06-30,2023-07-19,,Open,Medium,False,,,
CA-00472,INS-OD-001-0333,INC-JH-001-081,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-11-11,2023-11-25,,Open,Low,False,,,
CA-00473,INS-JH-001-3867,INC-JH-002-264,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-07-02,2023-08-25,,Overdue,Low,False,,,Parts not available
CA-00474,INS-JH-002-2801,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-09-12,2023-10-12,,In Progress,Critical,False,,,
CA-00475,INS-JH-002-4715,INC-JH-001-231,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-06-09,2023-07-03,2023-07-13,Escalated,Low,False,,,
CA-00476,INS-JH-001-3094,INC-JH-002-038,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-11-23,2023-12-15,2023-12-15,Open,Low,True,Rajesh Kumar,2023-12-16,
CA-00477,INS-JH-002-4186,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-01-27,2023-02-11,2023-02-06,Rejected,High,False,,,
CA-00478,INS-OD-001-4991,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-05-14,2023-05-23,,Overdue,High,False,,,Parts not available
CA-00479,INS-JH-002-4561,INC-JH-002-114,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-11-08,2023-11-23,,Open,Low,False,,,
CA-00480,INS-OD-001-4914,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-01-12,2023-02-06,2023-02-16,Rejected,High,True,Sita Devi,2023-02-17,
CA-00481,INS-JH-001-2688,INC-JH-002-300,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-01-07,2023-02-09,2023-02-11,Completed,Critical,True,Rajesh Kumar,2023-02-12,
CA-00482,INS-JH-002-0088,INC-JH-001-010,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-01-30,2023-03-27,2023-04-06,Open,High,False,,,
CA-00483,INS-JH-001-4556,INC-JH-002-248,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-10-13,2023-11-28,2023-12-02,Overdue,Critical,True,Rajesh Kumar,2023-12-03,Equipment unavailability
CA-00484,INS-OD-001-0963,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-02-02,2023-03-07,,Escalated,Medium,False,,,
CA-00485,INS-OD-001-4332,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-08-25,2023-09-01,,Overdue,High,False,,,Waiting for approval
CA-00486,INS-OD-001-3401,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-18,2024-02-08,2024-02-18,Escalated,High,True,Rajesh Kumar,2024-02-19,
CA-00487,INS-OD-001-4440,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-18,2024-01-06,,Overdue,High,False,,,Parts not available
CA-00488,INS-JH-002-4500,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-06-12,2023-07-24,,Escalated,Medium,False,,,
CA-00489,INS-JH-001-1674,INC-JH-001-012,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-07-25,2023-08-12,,Escalated,Critical,False,,,
CA-00490,INS-OD-001-4107,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-11-18,2023-12-14,2023-12-09,In Progress,Medium,True,Rajesh Kumar,2023-12-10,
CA-00491,INS-OD-001-4186,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-06-09,2023-08-03,2023-08-02,Rejected,Low,False,,,
CA-00492,INS-JH-002-0880,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-08-09,2023-09-05,2023-09-02,Escalated,Critical,True,Rajesh Kumar,2023-09-03,
CA-00493,INS-JH-002-3836,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-08-01,2023-09-10,,In Progress,Low,False,,,
CA-00494,INS-JH-001-1217,INC-JH-001-218,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-02-05,2023-03-24,,Escalated,Low,False,,,
